Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
63,0,20,"(3, 0)","(1, 0);(1, 0);(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(3, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(4, 0);(4, 0);(4, 0);(4, 0);(3, 0)","(3, 1)",0.7292124703704616,False
64,0,20,"(4, 0)","(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 2);(3, 1);(4, 1);(3, 1);(2, 1);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(4, 0)","(3, 0)",0.7255664080186093,False
65,-1,20,"(1, 3)","(0, 1);(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(2, 0);(2, 1);(1, 1);(0, 1);(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(1, 3);(1, 4);(1, 3)","(2, 3)",0.7219385759785162,False
66,0,20,"(4, 0)","(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(2, 1);(2, 0);(2, 1);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(3, 0);(3, 0);(4, 0);(4, 1);(4, 0)","(5, 0)",0.7183288830986236,False
67,-2,20,"(5, 4)","(1, 0);(1, 1);(1, 0);(1, 1);(1, 2);(2, 2);(3, 2);(4, 2);(3, 2);(3, 3);(2, 3);(3, 3);(4, 3);(3, 3);(3, 4);(4, 4);(4, 3);(5, 3);(5, 4);(5, 4)","(4, 4)",0.7147372386831305,False
68,0,20,"(5, 4)","(0, 0);(0, 0);(0, 1);(0, 1);(0, 2);(0, 1);(0, 2);(1, 2);(2, 2);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(5, 3);(4, 3);(5, 3);(5, 4);(5, 3);(5, 4)","(5, 5)",0.7111635524897149,False
69,-2,20,"(2, 2)","(0, 0);(0, 0);(1, 0);(1, 0);(1, 1);(2, 1);(2, 0);(2, 0);(1, 0);(2, 0);(2, 1);(1, 1);(1, 2);(2, 2);(3, 2);(2, 2);(1, 2);(2, 2);(3, 2);(2, 2)","(3, 2)",0.7076077347272662,False
70,0,20,"(5, 0)","(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(4, 0);(5, 0)","(4, 0)",0.7040696960536299,False
71,-1,20,"(0, 1)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1)","(0, 0)",0.7005493475733617,False
72,0,20,"(0, 3)","(0, 1);(0, 2);(1, 2);(0, 2);(0, 3);(0, 3);(1, 3);(0, 3);(0, 2);(0, 2);(0, 2);(0, 3);(0, 3);(0, 4);(0, 5);(1, 5);(1, 5);(1, 4);(1, 3);(0, 3)","(0, 4)",0.697046600835495,False
73,5,20,"(5, 4)","(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(3, 0);(4, 0);(4, 0);(3, 0);(4, 0);(4, 1);(5, 1);(5, 1);(5, 2);(5, 3);(4, 3);(5, 3);(5, 4);(5, 5);(5, 4)","(5, 4)",0.6935613678313175,False
74,-1,20,"(4, 0)","(1, 0);(0, 0);(0, 1);(1, 1);(1, 2);(2, 2);(1, 2);(2, 2);(3, 2);(3, 1);(3, 0);(4, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(4, 0);(3, 0);(4, 0)","(5, 0)",0.6900935609921609,False
75,0,20,"(4, 0)","(1, 0);(2, 0);(3, 0);(3, 0);(3, 0);(3, 1);(4, 1);(4, 0);(4, 0);(4, 0);(5, 0);(5, 1);(4, 1);(4, 2);(4, 1);(4, 0);(3, 0);(4, 0);(5, 0);(4, 0)","(4, 1)",0.6866430931872001,False
76,-1,20,"(5, 0)","(1, 0);(1, 1);(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.6832098777212641,False
77,0,20,"(4, 0)","(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(2, 0);(2, 0);(3, 0);(3, 0);(3, 0);(3, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(4, 0)","(4, 0)",0.6797938283326578,False
78,-2,20,"(2, 2)","(0, 0);(0, 0);(0, 0);(0, 1);(0, 2);(0, 2);(1, 2);(0, 2);(0, 1);(0, 0);(0, 1);(1, 1);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(2, 2)","(1, 2)",0.6763948591909945,False
79,10,20,"(3, 4)","(0, 0);(1, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 2);(4, 2);(4, 3);(5, 3);(5, 2);(5, 3);(5, 4);(5, 5);(5, 5);(4, 5);(4, 5);(4, 5);(3, 5);(3, 4)","(4, 4)",0.6730128848950395,False
80,-1,20,"(0, 4)","(1, 0);(1, 1);(1, 0);(2, 0);(1, 0);(2, 0);(2, 1);(2, 2);(1, 2);(2, 2);(1, 2);(2, 2);(2, 3);(2, 4);(1, 4);(1, 5);(0, 5);(0, 5);(0, 5);(0, 4)","(0, 3)",0.6696478204705644,False
81,0,20,"(5, 3)","(1, 0);(2, 0);(3, 0);(4, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 1);(4, 1);(4, 2);(4, 3);(5, 3);(5, 2);(5, 2);(4, 2);(5, 2);(5, 1);(5, 2);(5, 3)","(5, 4)",0.6662995813682115,False
82,-1,20,"(5, 1)","(1, 0);(1, 1);(2, 1);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 1);(5, 1)","(5, 2)",0.6629680834613705,False
83,0,20,"(3, 1)","(1, 0);(1, 0);(1, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 0);(3, 0);(2, 0);(2, 1);(2, 0);(2, 1);(2, 0);(2, 0);(2, 0);(2, 0);(2, 0);(3, 0);(3, 1)","(2, 1)",0.6596532430440636,False
84,9,20,"(5, 5)","(1, 0);(1, 1);(1, 0);(0, 0);(1, 0);(2, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 0);(5, 0);(5, 1);(5, 0);(5, 1);(5, 2);(5, 3);(5, 4);(5, 5);(5, 5)","(5, 5)",0.6563549768288433,True
85,30,20,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(1, 4);(2, 4);(3, 4);(3, 5);(2, 5);(3, 5);(4, 5);(5, 5);(5, 5);(4, 5);(4, 4);(5, 4);(5, 5);(5, 5);(5, 5);(5, 5)","(5, 4)",0.653073201944699,True
86,30,20,"(5, 5)","(1, 0);(2, 0);(3, 0);(4, 0);(3, 0);(4, 0);(4, 1);(5, 1);(5, 1);(5, 1);(5, 2);(5, 3);(5, 4);(5, 5);(5, 4);(5, 5);(5, 5);(5, 5);(5, 5);(5, 5)","(5, 5)",0.6498078359349755,True
87,0,20,"(4, 4)","(0, 0);(1, 0);(2, 0);(3, 0);(3, 0);(2, 0);(3, 0);(2, 0);(3, 0);(4, 0);(4, 1);(5, 1);(5, 2);(5, 3);(4, 3);(5, 3);(5, 2);(5, 3);(4, 3);(4, 4)","(4, 5)",0.6465587967553006,False
88,-1,20,"(4, 5)","(0, 1);(0, 1);(1, 1);(2, 1);(2, 2);(3, 2);(4, 2);(5, 2);(5, 3);(5, 2);(5, 3);(5, 2);(5, 3);(5, 3);(5, 4);(4, 4);(4, 5);(4, 5);(4, 4);(4, 5)","(3, 5)",0.6433260027715241,False
89,0,20,"(5, 0)","(1, 0);(2, 0);(2, 0);(3, 0);(3, 0);(4, 0);(4, 1);(4, 0);(4, 0);(5, 0);(4, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.6401093727576664,False
90,-1,20,"(3, 5)","(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 1);(2, 1);(3, 1);(2, 1);(2, 2);(3, 2);(4, 2);(3, 2);(3, 3);(3, 4);(4, 4);(4, 5);(3, 5);(3, 5)","(4, 5)",0.6369088258938781,False
