Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
1,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.995
2,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.990025
3,0,4,"(1, 2)","(0, 0);(0, 1);(0, 2);(1, 2)","(0, 2)",0.985074875
4,0,4,"(1, 0)","(1, 0);(1, 0);(0, 0);(1, 0)","(1, 0)",0.9801495006250001
5,0,4,"(0, 0)","(0, 0);(0, 0);(1, 0);(0, 0)","(0, 1)",0.9752487531218751
6,0,4,"(0, 2)","(1, 0);(0, 0);(0, 1);(0, 2)","(0, 1)",0.9703725093562657
7,0,4,"(0, 0)","(0, 1);(0, 1);(0, 0);(0, 0)","(0, 0)",0.9655206468094844
8,0,4,"(1, 0)","(1, 0);(1, 0);(2, 0);(1, 0)","(2, 0)",0.960693043575437
9,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.9558895783575597
10,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(1, 0)",0.9511101304657719
11,0,4,"(0, 0)","(0, 0);(1, 0);(0, 0);(0, 0)","(0, 0)",0.946354579813443
12,0,4,"(0, 1)","(0, 0);(0, 1);(0, 0);(0, 1)","(0, 0)",0.9416228069143757
13,-5,4,"(1, 2)","(0, 0);(1, 0);(1, 1);(1, 2)","(1, 1)",0.9369146928798039
14,-5,4,"(1, 0)","(0, 0);(1, 0);(1, 1);(1, 0)","(2, 0)",0.9322301194154049
15,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(1, 1)",0.9275689688183278
16,0,4,"(1, 0)","(0, 0);(1, 0);(1, 0);(1, 0)","(1, 0)",0.9229311239742362
17,0,4,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.918316468354365
18,-5,4,"(0, 0)","(0, 1);(1, 1);(0, 1);(0, 0)","(0, 0)",0.9137248860125932
19,-5,4,"(0, 1)","(0, 0);(1, 0);(1, 1);(0, 1)","(0, 0)",0.9091562615825302
20,-5,4,"(1, 2)","(1, 0);(1, 1);(1, 2);(1, 2)","(1, 1)",0.9046104802746175
21,0,4,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.9000874278732445
22,0,4,"(0, 2)","(0, 0);(0, 1);(0, 2);(0, 2)","(0, 1)",0.8955869907338783
1,0,4,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.05
2,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
3,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
4,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
5,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
6,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
7,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
8,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
9,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
10,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
11,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
12,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
13,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
14,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
15,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
16,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
17,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
18,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
19,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
20,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
21,0,4,"(0, 0)","(0, 0);(0, 0);(1, 0);(0, 0)","(0, 0)",0.01
22,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
23,0,4,"(0, 0)","(0, 0);(0, 0);(1, 0);(0, 0)","(1, 0)",0.01
24,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
25,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
26,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
27,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
28,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
29,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
30,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
31,0,4,"(2, 0)","(0, 0);(1, 0);(2, 0);(2, 0)","(2, 0)",0.01
32,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
33,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
34,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
35,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
36,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
37,0,4,"(1, 0)","(0, 0);(1, 0);(2, 0);(1, 0)","(2, 0)",0.01
38,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(2, 0)",0.01
39,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
40,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
41,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
42,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
43,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(1, 0)",0.01
44,0,4,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
45,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
46,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
47,0,4,"(2, 0)","(0, 0);(1, 0);(2, 0);(2, 0)","(2, 0)",0.01
48,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
49,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
50,0,4,"(1, 0)","(1, 0);(2, 0);(2, 0);(1, 0)","(2, 0)",0.01
51,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
52,0,4,"(2, 0)","(0, 0);(1, 0);(2, 0);(2, 0)","(2, 0)",0.01
53,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
54,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
55,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
56,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
57,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
58,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
59,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
60,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.01
1,-5,4,"(1, 1)","(0, 0);(0, 0);(0, 1);(1, 1)","(1, 2)",0.05
2,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
3,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
4,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
5,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
6,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
7,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
8,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
9,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
10,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
11,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
12,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
13,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
14,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
15,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
16,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
17,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
18,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
19,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
20,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
21,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
22,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
23,0,4,"(0, 2)","(0, 1);(0, 2);(0, 2);(0, 2)","(0, 2)",0.01
